source_row_index,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,answered_questions,correct_answers,incorrect_answers,accuracy_pct,is_full_24_item_response
0,4/18/26 4:47,4/18/26 4:51,1,,100,259,1,4/18/26 4:51,R_8DYs5oSKWTNCAXT,,,,,55.7701,12.562,preview,EN,,,,,,1,speaker2,1,1,0,100.00,0
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,24,24,0,100.00,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,24,16,8,66.67,1
8,4/20/26 1:08,4/20/26 1:22,0,80.62.117.122,100,846,1,4/20/26 1:22,R_8kMT1WvTIZn3MZv,,,,,55.7123,12.0564,anonymous,EN,1,1,1,2,2,21,speaker2,24,21,3,87.50,1
13,4/20/26 5:48,4/20/26 6:01,0,80.62.116.230,100,730,1,4/20/26 6:01,R_8N4wsiqoZLkfCo1,,,,,55.7123,12.0564,anonymous,EN,1,1,1,1,2,22,speaker0,24,22,2,91.67,1
16,4/20/26 11:43,4/20/26 11:47,0,87.49.146.227,100,240,1,4/20/26 11:47,R_8Xy9CpmUtv57lUR,,,,,55.7123,12.0564,anonymous,EN,1,1,1,1,1,5,speaker2,24,5,19,20.83,1
20,4/20/26 13:09,4/20/26 13:13,0,90.185.25.253,100,245,1,4/20/26 13:13,R_2N9CQCHqMxkWBjk,,,,,55.6924,9.2624,anonymous,EN,1,1,1,2,1,21,speaker0,24,21,3,87.50,1
