source_row_index,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,question_column,question_id,survey_order,response_numeric,response_letter,solution_letter,is_correct
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns3_item3,ns3_item3,19,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns1_item7,ns1_item7,20,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item0,ns2_item0,21,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns1_item0,ns1_item0,22,3,C,C,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns1_item3,ns1_item3,23,1,A,A,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns3_item4,ns3_item4,24,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item7,ns2_item7,1,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item5,ns1_item5,2,1,A,A,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item2,ns3_item2,3,1,A,A,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item7,ns3_item7,4,3,C,B,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item5,ns2_item5,5,2,B,A,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item2,ns2_item2,6,2,B,A,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item1,ns3_item1,7,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item3,ns2_item3,8,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item6,ns2_item6,9,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item0,ns3_item0,10,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item1,ns1_item1,11,1,A,B,0
